LogId,ServerIP,PlayerID,Start_Session,End_Session,Info
1,177906385,2742,2022-12-25,2022-12-26,Trading session
2,177302240,1888,2024-08-01,2024-08-01,Normal logout
3,169034157,2874,2024-07-10,2024-07-12,Server restart
4,178637285,4457,2024-10-24,2024-10-24,Kicked - AFK
5,175856776,1716,2023-12-07,2023-12-07,Server restart
6,169484005,620,2024-12-21,2024-12-22,Disconnected
7,177926140,966,2024-11-09,2024-11-10,Normal logout
8,176662682,3818,2024-11-09,2024-11-11,Normal logout
9,180440121,2575,2024-12-23,2024-12-24,Crash recovery
10,178564954,2201,2024-12-16,2024-12-16,Idle timeout
11,178223392,2340,2023-12-02,2023-12-03,Kicked - AFK
12,170601900,1558,2024-12-28,2024-12-29,Kicked - AFK
13,175546993,3649,2024-10-19,2024-10-21,Server restart
14,174225026,1082,2024-08-21,2024-08-22,Server restart
15,177955694,4303,2023-07-31,2023-08-02,Trading session
16,174888212,2317,2024-10-11,2024-10-11,Raid session
17,172115407,531,2024-12-20,2024-12-21,Normal logout
18,180290986,4446,2023-08-21,2023-08-22,Server restart
19,180373329,2326,2023-12-19,2023-12-21,Kicked - AFK
20,182943394,2402,2024-11-23,2024-11-25,Disconnected
21,175137141,1461,2023-10-04,2023-10-05,Disconnected
22,183108427,2937,2024-11-15,2024-11-16,Idle timeout
23,172559816,478,2024-12-09,2024-12-10,Disconnected
24,183479470,1742,2024-12-01,2024-12-03,Kicked - AFK
25,168390448,2856,2024-11-22,2024-11-23,Kicked - AFK
26,170506320,1726,2024-12-18,2024-12-19,Idle timeout
27,179117022,2192,2024-12-31,2025-01-01,Disconnected
28,184174078,4221,2024-03-20,2024-03-20,Disconnected
29,179651688,2461,2024-12-31,2025-01-02,Raid session
30,169292538,1092,2024-12-28,2024-12-28,Completed quest session
31,174837543,1554,2024-02-20,2024-02-22,Completed quest session
32,172168211,1797,2024-09-15,2024-09-15,Server restart
33,173779774,4182,2024-11-26,2024-11-28,Raid session
34,170421599,4730,2024-11-14,2024-11-16,Disconnected
35,180531888,502,2024-03-26,2024-03-26,Completed quest session
36,179121367,1377,2024-11-26,2024-11-26,Kicked - AFK
37,177937309,3304,2024-09-19,2024-09-20,Completed quest session
38,180667882,2898,2024-12-26,2024-12-28,Trading session
39,182487122,3604,2024-07-16,2024-07-17,PvP session
40,168157414,3232,2024-12-20,2024-12-22,Trading session
41,178683071,4699,2023-08-17,2023-08-17,Server restart
42,173704240,3424,2024-10-28,2024-10-29,Disconnected
43,168265470,2710,2024-05-23,2024-05-25,Server restart
44,181116430,1792,2022-08-27,2022-08-27,Server restart
45,178735659,727,2023-05-24,2023-05-25,PvP session
46,178945842,3498,2024-09-21,2024-09-23,Trading session
47,174776251,2650,2024-11-26,2024-11-28,Raid session
48,170421599,3853,2023-12-10,2023-12-11,Server restart
49,173779774,1876,2024-09-13,2024-09-14,Server restart
50,183858400,3535,2024-12-02,2024-12-03,Trading session
51,178881749,1127,2024-12-05,2024-12-06,Completed quest session
52,184051857,4130,2024-12-23,2024-12-24,PvP session
53,184138926,2357,2024-12-31,2025-01-01,Idle timeout
54,173820026,3871,2024-05-07,2024-05-09,Normal logout
55,184112846,2648,2024-11-13,2024-11-13,Trading session
56,170559332,2067,2024-12-26,2024-12-26,Trading session
57,179914620,3596,2024-06-26,2024-06-26,Server restart
58,184112846,2489,2024-12-11,2024-12-13,Trading session
59,182471695,1665,2024-12-08,2024-12-08,Kicked - AFK
60,183732580,2626,2024-12-04,2024-12-05,Raid session
61,172150081,872,2023-09-04,2023-09-05,Crash recovery
62,169062753,4986,2024-06-23,2024-06-23,Kicked - AFK
63,179845537,105,2024-12-18,2024-12-19,Raid session
64,169875899,2701,2024-06-25,2024-06-27,Server restart
65,170020196,257,2022-06-04,2022-06-06,Trading session
66,180556602,684,2024-10-01,2024-10-01,PvP session
67,183889732,845,2022-09-09,2022-09-11,Disconnected
68,170319378,1518,2024-08-14,2024-08-15,Kicked - AFK
69,183108427,3704,2023-03-07,2023-03-09,Disconnected
70,176985206,3368,2024-11-18,2024-11-19,Kicked - AFK
71,180161497,3384,2022-12-16,2022-12-16,PvP session
72,169501599,64,2024-02-22,2024-02-23,Disconnected
73,183942539,923,2024-10-05,2024-10-06,Crash recovery
74,182428181,2328,2024-11-15,2024-11-17,Server restart
75,178384963,1809,2024-05-27,2024-05-27,Server restart
76,178388765,2112,2024-12-29,2024-12-30,Trading session
77,180385034,4862,2024-05-07,2024-05-08,Server restart
78,178384963,3352,2023-02-27,2023-02-28,Crash recovery
79,181426047,81,2024-10-13,2024-10-13,Completed quest session
80,178255627,2090,2024-05-23,2024-05-23,Server restart
81,177664321,740,2024-10-03,2024-10-04,Crash recovery
82,183889732,4208,2024-11-11,2024-11-12,Disconnected
83,173620328,2158,2024-04-05,2024-04-06,Normal logout
84,175403742,826,2023-10-19,2023-10-20,Idle timeout
85,174352719,1212,2022-11-22,2022-11-22,Completed quest session
86,169959534,2093,2022-12-21,2022-12-21,Completed quest session
87,176467761,2118,2024-07-13,2024-07-15,Kicked - AFK
88,170433072,685,2023-12-31,2024-01-02,Trading session
89,174386727,4428,2023-04-21,2023-04-23,Normal logout
90,174218417,532,2024-12-02,2024-12-04,Idle timeout
91,174350744,1242,2024-12-20,2024-12-20,Trading session
92,176106183,1118,2024-12-13,2024-12-13,Normal logout
93,174239088,4069,2023-05-17,2023-05-18,Normal logout
94,180193832,206,2024-12-03,2024-12-03,Kicked - AFK
95,172262307,3759,2024-07-18,2024-07-19,Idle timeout
96,168873335,1336,2023-05-17,2023-05-19,Crash recovery
97,180184392,2425,2024-12-28,2024-12-30,Disconnected
98,174225026,1369,2024-09-10,2024-09-11,PvP session
99,179651688,2479,2024-03-12,2024-03-14,Raid session
100,178359047,3247,2024-01-23,2024-01-25,Crash recovery
101,181693577,3338,2024-09-02,2024-09-02,Normal logout
102,169206867,4279,2024-06-09,2024-06-11,Idle timeout
103,184138926,2357,2024-12-28,2024-12-30,Completed quest session
104,183743362,4174,2024-10-08,2024-10-10,Trading session
105,175856776,2674,2024-11-29,2024-12-01,Crash recovery
106,177955694,680,2024-12-06,2024-12-06,Idle timeout
107,181116430,94,2024-07-27,2024-07-29,Crash recovery
108,177816140,3767,2024-08-26,2024-08-27,Crash recovery
109,173182562,1396,2024-12-25,2024-12-25,PvP session
110,174328217,1178,2024-11-30,2024-12-01,Idle timeout
111,180173631,2380,2024-12-28,2024-12-30,Trading session
112,178981666,1261,2024-12-19,2024-12-19,Trading session
113,171330169,3956,2024-12-30,2024-12-31,Trading session
114,174505112,3482,2024-06-29,2024-06-29,PvP session
115,179732639,2393,2024-02-23,2024-02-25,Trading session
116,169130577,1983,2024-02-23,2024-02-24,Server restart
117,174747248,1939,2024-11-25,2024-11-26,Crash recovery
118,182471695,1665,2024-12-20,2024-12-21,Kicked - AFK
119,183297196,1520,2024-09-05,2024-09-05,Server restart
120,180671995,3171,2024-09-20,2024-09-20,PvP session
121,176561767,3968,2024-12-06,2024-12-06,Kicked - AFK
122,171950419,814,2024-12-28,2024-12-29,Raid session
123,183699124,3434,2024-11-13,2024-11-14,Disconnected
124,174837543,3078,2023-05-25,2023-05-25,Trading session
125,169926460,3255,2023-06-27,2023-06-27,Raid session
126,174498147,1821,2024-02-10,2024-02-10,Raid session
127,170526996,4601,2024-12-14,2024-12-16,Trading session
