PlayerID,NickName,Level,ClassID,AccountID,Activity,ServerIP,Started_At
1,SilentTitan1221,68,CLS-024,208,offline,173816955,2024-10-22
2,MightyHawk5055,49,CLS-040,376,offline,169083771,2024-12-05
3,MightyReaper7211,56,CLS-021,147,offline,182934204,2023-11-11
4,ShadowKnight8499,3,CLS-001,7,offline,181186194,2023-03-04
5,IronTitan5050,58,CLS-025,99,offline,167864111,2023-02-05
6,StormBear297,40,CLS-027,223,offline,179028018,2024-07-21
7,DarkViper3835,41,CLS-025,323,offline,170020196,2024-01-19
8,SwiftWolf9463,33,CLS-047,326,online,171656196,2024-08-13
9,ShadowFury5518,28,CLS-016,237,offline,177679774,2023-10-04
10,MightyBear3219,32,CLS-035,205,offline,180184392,2023-01-10
11,WildReaper9481,48,CLS-050,289,offline,182046458,2024-02-25
12,WildPhoenix7866,13,CLS-043,466,offline,182457372,2024-11-29
13,MightyFury6779,8,CLS-014,452,offline,168950101,2024-12-28
14,GhostSlayer5243,18,CLS-030,408,offline,176482225,2024-10-22
15,WildDragon6986,60,CLS-012,122,online,183061107,2024-07-21
16,IronHunter5307,1,CLS-013,236,offline,168509700,2024-04-14
17,CrimsonHawk1562,3,CLS-019,440,online,178564954,2024-08-22
18,ShadowHawk6515,14,CLS-028,381,online,180827563,2024-04-06
19,SilentMage6135,45,CLS-026,27,offline,171785988,2024-11-21
20,WildBear6440,26,CLS-009,414,offline,179245615,2024-11-08
21,StormSlayer4273,36,CLS-002,279,online,175686973,2024-02-24
22,BraveReaper6250,6,CLS-026,347,offline,175419199,2024-09-14
23,StormHawk4119,35,CLS-034,198,offline,178223392,2024-10-23
24,SwiftBear3559,66,CLS-011,32,online,184056945,2024-05-11
25,MysticHunter6397,4,CLS-007,250,offline,179542556,2023-12-04
26,CrimsonKnight8797,32,CLS-043,417,online,177302240,2024-11-19
27,IronMage7656,13,CLS-004,474,offline,183661302,2024-12-25
28,MightyKnight3846,73,CLS-018,476,offline,184506575,2024-12-30
29,SwiftReaper813,15,CLS-045,295,offline,173457825,2024-05-16
30,SilentMage7920,24,CLS-024,50,offline,179733806,2023-01-05
31,FrostMage9629,76,CLS-045,487,online,169489749,2024-12-17
32,LoneReaper3527,60,CLS-030,318,offline,173396035,2024-09-07
33,BraveSlayer6317,25,CLS-005,314,offline,175654660,2024-04-10
34,SilentKnight533,18,CLS-011,323,online,180588896,2024-09-08
35,MysticDragon8572,49,CLS-021,161,offline,175441249,2022-08-31
36,MysticDragon2376,41,CLS-050,75,offline,181526857,2024-04-03
37,LoneHunter8719,20,CLS-019,124,offline,179651688,2022-09-07
38,CrimsonReaper4917,41,CLS-015,168,offline,176079257,2024-11-30
39,SavageFury6258,15,CLS-019,258,offline,174544336,2023-08-28
40,DarkPhoenix3989,59,CLS-038,123,online,183982510,2023-10-20
41,BraveFury5738,84,CLS-015,127,offline,173620328,2022-09-27
42,WildPhoenix1341,3,CLS-024,2,offline,168859511,2023-05-03
43,SavageReaper235,24,CLS-036,244,offline,176161771,2024-02-12
44,ShadowPhoenix3816,14,CLS-044,434,offline,182487122,2024-10-16
45,CrimsonReaper8536,31,CLS-030,486,offline,181732439,2024-11-30
46,BraveHawk3432,31,CLS-016,34,online,168411083,2024-05-30
47,LonePhoenix7849,19,CLS-012,428,offline,178881749,2024-12-05
48,WildTitan6981,62,CLS-047,358,offline,168873335,2024-11-20
49,FrostDragon363,36,CLS-003,338,offline,174328217,2024-10-06
50,ShadowBear4228,18,CLS-019,496,offline,176534033,2024-12-30
51,WildBear7283,43,CLS-012,169,online,183358037,2024-12-28
52,MysticFury1059,13,CLS-012,241,offline,167827364,2024-05-27
53,LoneMage6002,2,CLS-046,461,offline,181599534,2024-10-21
54,MysticWolf8206,67,CLS-024,198,online,181186194,2024-06-11
55,GhostHawk3178,7,CLS-036,15,offline,168950101,2024-09-04
56,MysticKnight2564,24,CLS-020,59,offline,178359047,2024-04-27
57,SilentMage2908,7,CLS-012,81,online,173182562,2023-09-14
58,ShadowRaven5712,75,CLS-034,93,offline,168157414,2022-09-05
59,FrostWolf5847,81,CLS-008,380,online,183061107,2024-10-15
60,ShadowRaven4525,81,CLS-046,380,online,179845537,2024-07-30
61,MysticWolf7706,40,CLS-027,1,offline,176794864,2023-08-09
62,GhostBlade4004,78,CLS-037,281,online,184506575,2024-04-20
63,SilentBlade6131,46,CLS-034,157,online,181167463,2023-09-07
64,MysticDragon1298,3,CLS-026,195,offline,169501599,2023-11-04
65,FrostViper3901,9,CLS-001,378,offline,175126657,2024-06-22
66,CrimsonBear4120,1,CLS-026,127,offline,171254515,2023-02-07
67,SilentBlade4780,54,CLS-030,362,online,183660975,2024-12-04
68,SavageHawk389,1,CLS-002,361,online,171005912,2024-11-01
69,FrostHawk6848,40,CLS-046,92,online,179000155,2022-02-21
70,FrostReaper6170,72,CLS-011,52,offline,173779774,2021-07-02
71,MightyViper6429,11,CLS-017,500,offline,175856776,2024-12-30
72,DarkPhoenix9610,35,CLS-022,69,offline,184056945,2024-03-26
73,CrimsonHunter1510,8,CLS-033,394,offline,180632381,2024-05-08
74,SwiftFury9298,27,CLS-044,269,offline,170674313,2024-02-27
75,DarkMage7451,24,CLS-010,358,offline,177240840,2024-04-14
76,MysticPhoenix7248,41,CLS-005,456,offline,178268787,2024-10-14
77,WildViper5233,50,CLS-014,385,offline,173444796,2024-10-19
78,FrostRaven9556,8,CLS-006,349,offline,184318791,2024-04-01
79,SavageWolf8454,9,CLS-024,77,offline,178566456,2022-03-05
80,SilentWolf3255,23,CLS-008,435,online,182943394,2024-08-01
81,IronHawk2347,8,CLS-032,423,offline,181426047,2024-09-17
82,GhostWolf1671,15,CLS-032,428,offline,178384963,2024-07-16
83,BraveRaven137,59,CLS-050,386,offline,177302240,2024-12-21
84,MysticPhoenix7258,4,CLS-020,476,offline,176794864,2024-11-30
85,GhostMage7168,47,CLS-027,370,offline,178881749,2024-05-23
86,MightyTitan1829,14,CLS-034,18,online,182492767,2021-11-19
87,MysticRaven3159,24,CLS-007,110,online,177483641,2022-03-26
88,WildHunter8921,39,CLS-038,42,offline,175869072,2021-06-12
89,MysticMage6238,33,CLS-006,399,online,171481721,2024-08-09
90,GhostPhoenix2920,39,CLS-010,78,offline,174352719,2023-01-10
91,BraveTitan9253,17,CLS-032,457,online,183944424,2024-09-22
92,CrimsonSlayer1400,4,CLS-005,9,online,176985206,2022-03-22
93,BraveFury9710,43,CLS-047,479,offline,172115407,2024-12-16
94,MysticMage1598,7,CLS-026,346,online,181116430,2024-07-03
95,BraveBear3525,19,CLS-036,380,offline,174595384,2024-11-03
96,GhostReaper4401,7,CLS-025,495,offline,176541589,2024-12-26
97,SwiftHawk1181,54,CLS-049,16,online,175494654,2023-09-17
98,SavageWolf3792,59,CLS-010,97,offline,173444796,2022-10-25
99,MightyDragon2351,21,CLS-034,43,offline,176999855,2021-11-04
100,GhostDragon208,13,CLS-037,282,offline,168778898,2024-04-02
101,DarkTitan820,39,CLS-013,80,offline,183743362,2022-12-11
102,DarkTitan2941,1,CLS-020,354,offline,180387831,2024-10-10
103,SilentPhoenix4875,14,CLS-020,431,offline,170674313,2024-12-26
104,SwiftFury6393,82,CLS-046,186,offline,172559816,2023-03-12
105,SavageViper1805,76,CLS-045,286,online,179845537,2024-12-01
106,FrostBear6291,19,CLS-031,39,online,171158994,2021-09-04
107,BraveBear6608,27,CLS-006,87,online,174837543,2022-08-31
108,SwiftMage2902,31,CLS-034,137,offline,181186194,2023-08-08
109,LoneDragon1905,68,CLS-017,71,offline,174040547,2022-03-15
110,DarkBlade8521,7,CLS-005,11,online,180655397,2024-08-10
111,DarkHunter5609,24,CLS-006,91,offline,175843203,2024-05-20
112,MysticBlade3052,31,CLS-002,177,online,178226459,2024-06-13
113,SilentSlayer7284,70,CLS-040,392,offline,168390448,2024-11-15
114,CrimsonBlade8395,50,CLS-015,210,offline,171875514,2023-09-23
115,MysticKnight848,37,CLS-013,147,online,169610620,2024-06-02
116,GhostTitan3081,27,CLS-026,491,offline,169056549,2024-12-19
117,GhostMage3388,9,CLS-007,387,offline,179992602,2024-07-27
118,ShadowBlade1684,68,CLS-050,298,offline,176079257,2024-01-11
119,GhostPhoenix7175,31,CLS-047,58,offline,176556170,2022-03-24
120,SavageViper1667,25,CLS-004,46,online,177055466,2023-05-13
121,WildHunter5773,11,CLS-002,215,online,174040547,2024-02-16
122,SavageViper2450,30,CLS-050,462,offline,184341827,2024-12-08
123,ShadowBlade4300,89,CLS-007,238,offline,175856776,2024-03-09
124,MysticRaven4989,47,CLS-046,108,online,184056945,2022-08-21
125,MightyHunter5173,1,CLS-048,40,offline,182186463,2022-10-19
126,ShadowBlade9808,84,CLS-035,46,offline,174218417,2022-03-06
127,MightyTitan7044,31,CLS-023,115,offline,179129476,2023-05-26
128,WildFury346,9,CLS-037,3,online,175992348,2022-10-12
129,BraveRaven5624,1,CLS-045,23,offline,169698544,2023-12-08
130,IronWolf4778,56,CLS-049,32,online,173378064,2023-04-11
131,FrostDragon4663,52,CLS-010,88,online,172559816,2022-08-04
